Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
2569;42,5592;9,1957;GWL20;834,4670588;66,91529412
2570;42,5529;9,2925;GWL20;882,4982353;85,34764706
2571;42,5465;9,3892;GWL20;1003,203529;111,3552941
2572;42,54;9,486;GWL20;828,1935294;96,69588235
2611;42,8106;-0,6407;GWL20;2144,259412;98,07823529
2612;42,8133;-0,5431;GWL20;1759,760588;83,11705882
2613;42,8159;-0,4456;GWL20;1868,32;87,07352941
2614;42,8184;-0,3481;GWL20;1883,411765;89,72588235
2615;42,8208;-0,2505;GWL20;1672,878824;81,52470588
2616;42,8231;-0,1529;GWL20;1584,160588;76,87411765
2617;42,8254;-0,0554;GWL20;1607,048824;76,34
2618;42,8275;0,0422;GWL20;1421,258235;71,86823529
2619;42,8296;0,1398;GWL20;1567,478235;77,49529412
2620;42,8315;0,2374;GWL20;1469,262941;74,47882353
2621;42,8334;0,335;GWL20;1121,604706;57,87
2622;42,8352;0,4326;GWL20;1200,112353;60,94352941
2623;42,8369;0,5302;GWL20;1402,784118;64,07705882
2624;42,8385;0,6278;GWL20;1326,308824;60,27117647
2625;42,84;0,7254;GWL20;1259,252941;61,15117647
2626;42,8414;0,823;GWL20;1423,424706;71,84117647
2627;42,8428;0,9206;GWL20;1614,804118;75,64470588
2628;42,844;1,0183;GWL20;1528,542353;69,59823529
2629;42,8452;1,1159;GWL20;1589,365882;72,62941176
2630;42,8463;1,2136;GWL20;1356,810588;61,99294118
2631;42,8472;1,3112;GWL20;1426,738235;67,09235294
2632;42,8481;1,4088;GWL20;1549,327059;70,87117647
2633;42,8489;1,5065;GWL20;1229,541765;65,95117647
2634;42,8497;1,6041;GWL20;1047,288824;57,61882353
2635;42,8503;1,7018;GWL20;1259,688824;64,13470588
2636;42,8508;1,7995;GWL20;1286,199412;67,07882353
2637;42,8513;1,8971;GWL20;1162,332353;64,20882353
2638;42,8516;1,9948;GWL20;1081,476471;66,03
2639;42,8519;2,0924;GWL20;1065,05;65,72058824
2640;42,8521;2,1901;GWL20;946,2270588;60,61882353
2641;42,8522;2,2877;GWL20;1000,726471;64,7
2642;42,8522;2,3854;GWL20;1020,705882;88,09588235
2643;42,8521;2,4831;GWL20;966,6776471;84,66
2644;42,8519;2,5807;GWL20;945,4876471;85,23
2645;42,8516;2,6784;GWL20;905,0947059;85,92705882
2646;42,8513;2,776;GWL20;739,5070588;98,88176471
2647;42,8508;2,8737;GWL20;708,6952941;96,96705882
2648;42,8503;2,9714;GWL20;683,5135294;96,06529412
2649;42,8497;3,069;GWL20;666,44;94,35470588
2709;42,6492;8,9133;GWL20;628,3088235;56,80352941
2710;42,6431;9,0103;GWL20;637,6652941;56,95588235
2711;42,637;9,1072;GWL20;660,4041176;54,63647059
2712;42,6308;9,2042;GWL20;821,2770588;78,26470588
2713;42,6245;9,3011;GWL20;706,4876471;69,47411765
2714;42,6181;9,398;GWL20;915,64;91,87470588
2715;42,6116;9,4948;GWL20;821,7811765;92,43588235
2753;42,8797;-0,742;GWL20;2106,646471;100,7858824
2754;42,8824;-0,6444;GWL20;2054,722353;97,93588235
2755;42,8851;-0,5467;GWL20;1973,400588;93,70117647
2756;42,8877;-0,4491;GWL20;2093,020588;94,44058824
2757;42,8902;-0,3514;GWL20;1891,346471;89,78705882
2758;42,8926;-0,2537;GWL20;1558,655882;75,5
2759;42,895;-0,156;GWL20;1416,347059;73,60588235
2760;42,8972;-0,0584;GWL20;1301,774118;69,72176471
2761;42,8993;0,0393;GWL20;1368,753529;75,51705882
2762;42,9014;0,137;GWL20;1496,708824;81,36470588
2763;42,9034;0,2348;GWL20;1469,994706;76,12411765
2764;42,9052;0,3325;GWL20;1118,66;58,43294118
2765;42,907;0,4302;GWL20;1160,612941;61,57235294
2766;42,9087;0,5279;GWL20;1111,294706;58,90647059
2767;42,9103;0,6257;GWL20;1006,373529;53,10117647
2768;42,9118;0,7234;GWL20;1223,621176;56,59529412
2769;42,9133;0,8211;GWL20;1271,421765;59,64647059
2770;42,9146;0,9189;GWL20;1383,715882;68,26823529
2771;42,9159;1,0166;GWL20;1308,276471;63,09588235
2772;42,917;1,1144;GWL20;1386,328824;61,76235294
2773;42,9181;1,2122;GWL20;1284,503529;58,73588235
2774;42,9191;1,3099;GWL20;1345,957059;63,75647059
2775;42,92;1,4077;GWL20;1415,957647;64,88941176
2776;42,9208;1,5055;GWL20;1249,685882;64,63647059
2777;42,9215;1,6032;GWL20;1151,301176;60,97058824
2778;42,9221;1,701;GWL20;1123,544118;60,14058824
2779;42,9227;1,7988;GWL20;1004,218824;58,82529412
2780;42,9231;1,8966;GWL20;969,9382353;56,44235294
2781;42,9235;1,9943;GWL20;958,2335294;59,10882353
2782;42,9237;2,0921;GWL20;923,2570588;57,91764706
2783;42,9239;2,1899;GWL20;865,9688235;56,54411765
2784;42,924;2,2877;GWL20;890,2252941;60,14176471
2785;42,924;2,3855;GWL20;958,3623529;67,76470588
2786;42,9239;2,4833;GWL20;1020,585882;89,38941176
2787;42,9237;2,581;GWL20;978,4494118;86,53411765
2788;42,9235;2,6788;GWL20;949,4723529;86,11941176
2789;42,9231;2,7766;GWL20;748,6152941;91,69176471
2790;42,9227;2,8744;GWL20;756,3905882;95,23823529
2791;42,9221;2,9722;GWL20;688,9629412;90,78117647
2792;42,9215;3,0699;GWL20;666,3941176;89,55
2853;42,7147;9,0185;GWL20;614,9782353;52,18117647
2854;42,7086;9,1156;GWL20;644,7129412;53,35764706
2855;42,7023;9,2127;GWL20;690,8694118;67,50294118
2856;42,696;9,3097;GWL20;680,0794118;66,52588235
2857;42,6896;9,4067;GWL20;903,5676471;88,74529412
